| 2014-10-21 |               69 |              55 |              82 |               60 |               81 |              33 |              93 |                1,976 |                2,004 |                 0.00 |                  0.21 |                 2.40 |
| 2014-10-22 |               72 |              61 |              82 |               59 |               80 |              41 |              91 |                1,898 |                2,004 |                 0.00 |                  0.20 |                 3.70 |
| 2014-10-24 |               68 |              54 |              82 |               59 |               80 |              39 |              92 |                1,908 |                1,931 |                 0.00 |                  0.19 |                 2.13 |
| 2014-11-02 |               57 |              41 |              72 |               56 |               77 |              34 |              89 |                1,991 |                1,978 |                 0.00 |                  0.14 |                 4.58 |
| 2014-11-04 |               72 |              62 |              82 |               56 |               76 |              28 |              89 |                1,991 |                1,988 |                 0.00 |                  0.16 |                 3.20 |
| 2014-11-05 |               69 |              64 |              74 |               55 |               76 |              31 |              88 |                1,991 |                1,963 |                 1.12 |                  0.16 |                 5.22 |
| 2014-11-06 |               62 |              58 |              66 |               55 |               76 |              36 |              88 |                1,993 |                1,963 |                 0.17 |                  0.15 |                 1.67 |
| 2014-11-07 |               57 |              49 |              65 |               55 |               75 |              29 |              88 |                1,993 |                2,002 |                 0.00 |                  0.15 |                 1.46 |
| 2014-11-13 |               41 |              36 |              45 |               53 |               73 |              29 |              86 |                1,907 |                2,005 |                 0.20 |                  0.14 |                 4.53 |
| 2014-11-20 |               61 |              46 |              76 |               51 |               71 |              27 |              84 |                1,969 |                1,977 |                 0.04 |                  0.13 |                 1.85 |
| 2014-11-26 |               58 |              43 |              73 |               49 |               69 |              27 |              86 |                1,975 |                1,967 |                 0.00 |                  0.14 |                 3.17 |
| 2014-11-28 |               55 |              39 |              71 |               48 |               68 |              26 |              83 |                1,976 |                1,977 |                 0.00 |                  0.14 |                 1.82 |
| 2014-11-30 |               71 |              61 |              80 |               48 |               68 |              19 |              82 |                1,976 |                1,950 |                 0.00 |                  0.15 |                 1.41 |
| 2014-12-03 |               59 |              52 |              66 |               47 |               67 |              25 |              85 |                1,929 |                1,995 |                 0.00 |                  0.14 |                 2.50 |
| 2014-12-04 |               63 |              53 |              72 |               47 |               67 |              27 |              83 |                1,897 |                2,012 |                 0.00 |                  0.13 |                 1.96 |
| 2014-12-09 |               57 |              43 |              70 |               45 |               65 |              25 |              82 |                1,917 |                2,007 |                 0.00 |                  0.13 |                 1.69 |
| 2014-12-11 |               64 |              56 |              72 |               45 |               65 |              26 |              83 |                1,957 |                2,007 |                 0.02 |                  0.12 |                 2.85 |
| 2014-12-15 |               70 |              59 |              80 |               44 |               64 |              21 |              82 |                1,901 |                1,995 |                 0.00 |                  0.12 |                 2.19 |
| 2014-12-17 |               54 |              44 |              64 |               44 |               64 |              20 |              80 |                1,932 |                1,984 |                 0.00 |                  0.12 |                 2.28 |
| 2014-12-18 |               64 |              57 |              70 |               44 |               64 |              24 |              82 |                1,996 |                1,980 |                 0.80 |                  0.11 |                 2.14 |
| 2014-12-26 |               61 |              51 |              71 |               43 |               63 |              18 |              78 |                1,983 |                2,005 |                 0.04 |                  0.11 |                 2.06 |
| 2014-12-27 |               60 |              46 |              74 |               43 |               63 |              19 |              81 |                1,892 |                1,971 |                 0.22 |                  0.11 |                 1.38 |
| 2014-12-28 |               44 |              41 |              46 |               43 |               63 |              15 |              80 |                1,894 |                1,996 |                 0.67 |                  0.11 |                 2.70 |
| 2015-01-02 |               51 |              47 |              54 |               43 |               63 |              16 |              81 |                1,928 |                2,000 |                 0.63 |                  0.10 |                 2.26 |
| 2015-01-03 |               47 |              41 |              53 |               43 |               62 |              16 |              83 |                1,911 |                1,989 |                 0.63 |                  0.10 |                 3.44 |
| 2015-01-06 |               50 |              34 |              65 |               43 |               62 |              22 |              80 |                1,972 |                1,989 |                 0.00 |                  0.11 |                 3.70 |
| 2015-01-14 |               42 |              39 |              45 |               43 |               63 |              19 |              82 |                1,982 |                1,971 |                 0.00 |                  0.11 |                 1.45 |
| 2015-01-17 |               53 |              37 |              69 |               43 |               63 |              15 |              80 |                1,930 |                1,974 |                 0.00 |                  0.11 |                 2.39 |
| 2015-01-18 |               57 |              43 |              71 |               43 |               63 |               5 |              81 |                1,930 |                2,000 |                 0.00 |                  0.12 |                 2.83 |
| 2015-01-19 |               53 |              34 |              72 |               43 |               63 |              10 |              81 |                1,940 |                2,000 |                 0.00 |                  0.11 |                 2.00 |
| 2015-01-20 |               61 |              45 |              76 |               43 |               63 |              20 |              81 |                1,985 |                2,012 |                 0.00 |                  0.11 |                 1.83 |
| 2015-01-23 |               42 |              39 |              44 |               43 |               63 |              14 |              83 |                1,940 |                1,972 |                 0.03 |                  0.11 |                 2.62 |
| 2015-01-24 |               49 |              35 |              62 |               43 |               63 |              18 |              82 |                1,963 |                1,971 |                 0.00 |                  0.11 |                 1.94 |
| 2015-01-25 |               55 |              40 |              70 |               44 |               63 |              19 |              81 |                1,894 |                1,971 |                 0.00 |                  0.11 |                 2.83 |
| 2015-01-28 |               61 |              43 |              79 |               44 |               64 |              19 |              82 |                1,897 |                1,975 |                 0.00 |                  0.12 |                 0.75 |
| 2015-01-30 |               55 |              45 |              65 |               44 |               64 |              18 |              84 |                1,949 |                1,911 |                 0.00 |                  0.12 |                 1.64 |
| 2015-02-01 |               63 |              48 |              77 |               44 |               64 |              15 |              82 |                1,951 |                1,989 |                 0.01 |                  0.12 |                 3.69 |
| 2015-02-05 |               48 |              41 |              55 |               45 |               65 |              23 |              83 |                1,996 |                1,957 |                 0.00 |                  0.10 |                 1.80 |
| 2015-02-08 |               66 |              54 |              77 |               45 |               65 |              10 |              82 |                1,895 |                1,932 |                 0.00 |                  0.11 |                 1.84 |
| 2015-02-10 |               59 |              43 |              74 |               46 |               65 |              22 |              85 |                1,973 |                1,957 |                 0.00 |                  0.12 |                 2.22 |
| 2015-02-21 |               70 |              65 |              75 |               48 |               67 |              24 |              89 |                1,978 |                1,996 |                 0.00 |                  0.12 |                 1.98 |
| 2015-03-04 |               63 |              43 |              83 |               50 |               70 |              22 |              86 |                2,002 |                1,893 |                 0.00 |                  0.12 |                 4.56 |
| 2015-03-07 |               48 |              35 |              60 |               51 |               71 |              28 |              90 |                1,989 |                1,911 |                 0.00 |                  0.12 |                 1.58 |
| 2015-03-08 |               49 |              45 |              53 |               51 |               71 |              27 |              88 |                1,971 |                1,911 |                 1.49 |                  0.11 |                 2.05 |
| 2015-03-14 |               64 |              51 |              77 |               52 |               73 |              29 |              88 |                1,993 |                2,008 |                 0.00 |                  0.11 |                 1.82 |
| 2015-03-17 |               70 |              58 |              82 |               53 |               73 |              30 |              88 |                1,900 |                1,908 |                 0.00 |                  0.10 |                 2.57 |
| 2015-03-19 |               73 |              66 |              79 |               53 |               74 |              27 |              89 |                1,923 |                1,908 |                 0.49 |                  0.09 |                 4.20 |
| 2015-03-20 |               74 |              66 |              82 |               53 |               74 |              24 |              90 |                1,923 |                1,907 |                 0.02 |                  0.11 |                 7.47 |
| 2015-03-21 |               65 |              64 |              66 |               54 |               74 |              30 |              87 |                1,996 |                1,907 |                 1.01 |                  0.10 |                 1.38 |
| 2015-03-22 |               68 |              60 |              76 |               54 |               75 |              32 |              89 |                1,970 |                1,916 |                 0.00 |                  0.12 |                 2.01 |
| 2015-03-26 |               62 |              54 |              69 |               55 |               75 |              30 |              94 |                1,955 |                1,928 |                 0.09 |                  0.12 |                 2.23 |
| 2015-03-29 |               70 |              57 |              82 |               55 |               76 |              35 |              90 |                1,894 |                1,974 |                 0.00 |                  0.10 |                 1.75 |
| 2015-03-30 |               72 |              61 |              83 |               55 |               76 |              33 |              96 |                1,987 |                1,946 |                 0.00 |                  0.11 |                 2.90 |
| 2015-03-31 |               74 |              64 |              83 |               56 |               77 |              30 |              88 |                1,987 |                1,946 |                 0.00 |                  0.10 |                 1.44 |
| 2015-04-01 |               74 |              69 |              79 |               56 |               77 |              39 |              89 |                1,987 |                1,936 |                 0.01 |                  0.10 |                 2.26 |
| 2015-04-06 |               75 |              67 |              82 |               57 |               78 |              37 |              88 |                1,970 |                1,909 |                 0.00 |                  0.10 |                 1.90 |
